,Text,Label
0,A,O
1,new,O
2,report,O
3,published,O
4,by,O
5,ClearSky,O
6,linked,O
7,a,O
8,man,O
9,accused,O
10,by,O
11,U,O
12,.,O
13,S,O
14,.,O
15,authorities,O
16,of,O
17,hacking,O
18,into,O
19,the,O
20,systems,O
21,of,O
22,HBO,O
23,to,O
24,the,O
25,Iranian,O
26,cyber,O
27,espionage,O
28,group,O
29,Charming,B-Actor
30,Kitten,I-Actor
31,.,O
32,Experts,O
33,from,O
34,the,O
35,security,O
36,firm,O
37,ClearSky,O
38,have,O
39,published,O
40,a,O
41,new,O
42,detailed,O
43,report,O
44,on,O
45,the,O
46,activities,O
47,of,O
48,Charming,B-Actor
49,Kitten,I-Actor
50,APT,O
51,group,O
52,",",O
53,also,O
54,known,O
55,as,O
56,Newscaster,B-Actor
57,and,O
58,NewsBeef,B-Actor
59,.,O
60,The,O
61,Newscaster,B-Actor
62,group,O
63,made,O
64,the,O
65,headlines,O
66,in,O
67,2014,O
68,when,O
69,experts,O
70,at,O
71,iSight,O
72,issued,O
73,a,O
74,report,O
75,describing,O
76,the,O
77,most,O
78,elaborate,O
79,net,O
80,-,O
81,based,O
82,spying,O
83,campaign,O
84,organized,O
85,by,O
86,Iranian,O
87,hackers,O
88,using,O
89,social,O
90,media,O
91,.,O
92,Iranian,O
93,Hackers,O
94,used,O
95,a,O
96,network,O
97,of,O
98,fake,O
99,accounts,O
100,(,O
101,NEWSCASTER,O
102,network,O
103,),O
104,on,O
105,principal,O
106,social,O
107,media,O
108,to,O
109,spy,O
110,on,O
111,US,O
112,officials,O
113,and,O
114,political,O
115,staff,O
116,worldwide,O
117,",",O
118,this,O
119,is,O
120,reported,O
121,in,O
122,an,O
123,analysis,O
124,done,O
125,by,O
126,iSIGHTPartners,O
127,.,O
128,The,O
129,Charming,B-Actor
130,Kitten,I-Actor
131,group,O
132,is,O
133,also,O
134,known,O
135,for,O
136,the,O
137,abuse,O
138,of,O
139,Open,O
140,Source,O
141,Security,O
142,Tools,O
143,",",O
144,including,O
145,the,O
